,01 JUN 2016,02 JUN 2016,03 JUN 2016,04 JUN 2016,05 JUN 2016,06 JUN 2016,07 JUN 2016,08 JUN 2016,09 JUN 2016,10 JUN 2016,11 JUN 2016,12 JUN 2016,13 JUN 2016,14 JUN 2016,15 JUN 2016,16 JUN 2016,17 JUN 2016,18 JUN 2016,19 JUN 2016,20 JUN 2016,21 JUN 2016,22 JUN 2016,23 JUN 2016,24 JUN 2016,25 JUN 2016,26 JUN 2016,27 JUN 2016,28 JUN 2016,29 JUN 2016,30 JUN 2016
Simpati(Transfer Pulsa),3680400,3845400,3969600,3937800,3239700,3299100,3274800,3543300,3450600,3783000,3186900,2999100,3146400,3134100,3618900,3339000,3112800,3287400,3049500,3806700,3762900,3340200,3752700,3559200,3217200,3003000,3975900,4101600,4373400,4042400
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,444150,428935,417775,416465,389320,403560,401085,392270,387700,399405,389680,375700,382700,412690,413090,395405,389540,406360,394615,411095,413855,388170,394950,392535,385040,366205,411370,372110,393840,394200
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,7500,2500,5000,2500,2500,5000,2500,2500,,7500,7500,,2500,5000,2500,5000,5000,10000,7500,2500,7500,15000,5000,2500,2500,2500,,,2500,2500
IVR Banking,388800,284400,256950,173700,201600,418500,386550,258300,211050,228150,285300,173250,254700,265500,219150,272250,339300,206550,235800,335250,234450,284400,362700,452250,464850,192150,255600,368550,319050,385200
IVR Content MDS,71100,123400,170150,216750,158750,124400,183700,98100,149350,137200,145400,170500,114950,131650,157900,140750,203800,101500,191100,165850,120950,164650,105850,146150,192000,177050,179650,167850,235150,189900
IVR Internal,15050,24325,17500,15400,19250,24325,23800,30450,20475,21350,18725,18375,20125,18375,23450,17150,29400,19600,19775,18375,27225,23975,22750,18550,26425,15750,13650,22575,12425,19950
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,54425,53725,64050,62125,60375,64575,46200,42175,61075,66500,60550,58800,61075,62475,59150,52500,66675,71575,56000,47425,59850,74550,65975,61775,56350,74725,91350,67375,72800,74200
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
