,01 JUL 2016,02 JUL 2016,03 JUL 2016,04 JUL 2016,05 JUL 2016,06 JUL 2016,07 JUL 2016,08 JUL 2016,09 JUL 2016,10 JUL 2016,11 JUL 2016,12 JUL 2016,13 JUL 2016,14 JUL 2016,15 JUL 2016,16 JUL 2016,17 JUL 2016,18 JUL 2016,19 JUL 2016,20 JUL 2016,21 JUL 2016,22 JUL 2016,23 JUL 2016,24 JUL 2016,25 JUL 2016,26 JUL 2016,27 JUL 2016,28 JUL 2016,29 JUL 2016,30 JUL 2016,31 JUL 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,53900,53900,77000,31900,30800,35200,9900,13200,39600,44000,18700,40700,88000,56100,38500,42900,31900,8800,6600,29700,15400,3300,72600,51700,13200,19800,18700,81400,16500,28600,93500
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,0,0,6600,9900,0,0,17600,11000,3300,0,0,0,0,0,14300,0,0,3300,,0,11000,0,0,0,11000,0,0,0,11000,0,0
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),4400,4400,2200,5500,4400,1100,,3300,2200,4400,3300,8800,5500,9900,24200,7700,5500,4400,12100,7700,3300,4400,7700,7700,20900,5500,9900,7700,3300,9900,5500
MMS to Email,8250,16500,9900,8250,29700,26400,21450,19800,11550,4950,13200,6600,9900,11550,9900,9900,8250,8250,4950,26400,8250,3300,6600,8250,11550,9900,14850,11550,11550,6600,3300
Mobile Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domestik MMS MO Eksternal,472500,348000,448250,379750,1061750,1107000,561000,465250,429000,478500,416500,402000,428500,392500,439250,387750,397500,391750,324250,344000,386750,345000,273000,286750,233250,256500,293250,305250,341750,305250,299750
Domestik MMS MO Internal,2610250,2557330,2571250,2470500,6814250,8333295,3565500,3070500,3140290,2932371,2788500,2875985,2838750,2538000,2833000,2566500,2512000,2518112,2495750,2405000,2232000,2468750,2202500,2193500,2210018,2180102,2224000,2271250,2131250,2183250,1958500
International MMS MO,88000,66000,126000,106000,114000,438000,250000,182000,174000,150000,140000,92000,120000,60000,56000,114000,122000,98000,114000,106000,98000,62000,88000,88000,94000,86000,70000,66000,56000,90000,82000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
