,01 DEC 2016,02 DEC 2016,03 DEC 2016,04 DEC 2016,05 DEC 2016,06 DEC 2016,07 DEC 2016,08 DEC 2016,09 DEC 2016,10 DEC 2016,11 DEC 2016,12 DEC 2016,13 DEC 2016,14 DEC 2016,15 DEC 2016,16 DEC 2016,17 DEC 2016,18 DEC 2016,19 DEC 2016,20 DEC 2016,21 DEC 2016,22 DEC 2016,23 DEC 2016,24 DEC 2016,25 DEC 2016,26 DEC 2016,27 DEC 2016,28 DEC 2016,29 DEC 2016,30 DEC 2016,31 DEC 2016
Simpati(Transfer Pulsa),4954500,4005000,4159500,3448500,4072500,4123500,3976500,4060500,4221000,3981000,3859500,4021500,4077000,4006500,3703500,3895500,4474500,3951000,4380000,4267500,4422000,4477500,4029000,4089000,3945000,4047000,4267500,4060500,4078500,3936000,4066500
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,337895,308720,318405,308275,312075,324855,322585,354770,352255,357970,312020,337650,359035,374660,353565,364645,403905,402235,394425,412995,388640,392485,375640,373865,365840,385825,379080,364625,372800,370690,387325
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,,5000,2500,5000,,2500,5000,,2500,,5000,,2500,,2500,5000,,2500,,5000,,,,,2500,,,2500,5000,5000,2500
IVR Banking,245250,246600,285300,230400,330300,338850,256050,346500,336600,333000,160650,328500,290700,273600,382050,350100,286200,146250,272700,218700,378000,173700,396900,387900,138600,402750,319950,314100,266400,263700,339300
IVR Content MDS,113850,185500,170900,145700,151750,170000,109000,140550,132000,134900,88000,126400,189800,164150,181250,252900,138000,129700,167200,130200,190600,201050,125150,173600,232200,158150,176050,194100,144600,141200,196750
IVR Internal,19425,19950,20475,15400,19775,8050,16100,21350,21000,14875,25200,17675,21350,22050,19775,30450,11900,22225,20650,28700,33075,24325,28175,17150,12425,9625,10500,10675,21000,27650,21875
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,47425,37975,74025,51450,61950,73850,54425,47425,56525,86800,67025,41650,51450,49175,54600,52150,53900,71750,56175,52325,64575,54250,46200,38500,51975,49175,50925,49175,56700,46025,59150
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
