,01 NOV 2016,02 NOV 2016,03 NOV 2016,04 NOV 2016,05 NOV 2016,06 NOV 2016,07 NOV 2016,08 NOV 2016,09 NOV 2016,10 NOV 2016,11 NOV 2016,12 NOV 2016,13 NOV 2016,14 NOV 2016,15 NOV 2016,16 NOV 2016,17 NOV 2016,18 NOV 2016,19 NOV 2016,20 NOV 2016,21 NOV 2016,22 NOV 2016,23 NOV 2016,24 NOV 2016,25 NOV 2016,26 NOV 2016,27 NOV 2016,28 NOV 2016,29 NOV 2016,30 NOV 2016
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,337385,340680,344730,339845,334810,306495,343925,350970,360170,351500,334925,327570,319995,328865,335495,329055,237080,320420,330685,333025,312485,314360,281770,258710,287955,282180,280355,278440,272225,329225
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,10000,,2500,5000,,7500,2500,5000,,2500,2500,2500,2500,5000,2500,,2500,2500,2500,2500,2500,,,2500,,,,7500,,
IVR Banking,379800,234450,288000,339300,298800,188550,331200,328950,401850,328950,266850,300600,205650,243900,366750,184950,237600,243000,265500,238050,238950,189000,301050,157500,380250,302400,144000,381150,387000,356400
IVR Content MDS,196100,152750,208900,172350,159500,190400,162650,122950,118550,148750,141200,176950,101050,181650,138950,145500,157200,131700,129100,130250,208350,151050,156300,112350,169000,180000,133175,126550,142800,160450
IVR Internal,10500,13300,14350,16450,19600,15400,15925,18200,12950,30275,22750,21700,24325,19075,17675,17850,13125,25550,22400,24325,13650,22925,22400,16800,24150,26425,20825,14175,12950,10325
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,51800,40950,72100,53900,57575,45325,50400,55300,57575,46375,53725,46550,59675,41125,50925,42000,47775,48475,49525,44800,60725,37450,41300,52675,54250,58800,46725,61250,42700,53375
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
