,01 SEP 2016,02 SEP 2016,03 SEP 2016,04 SEP 2016,05 SEP 2016,06 SEP 2016,07 SEP 2016,08 SEP 2016,09 SEP 2016,10 SEP 2016,11 SEP 2016,12 SEP 2016,13 SEP 2016,14 SEP 2016,15 SEP 2016,16 SEP 2016,17 SEP 2016,18 SEP 2016,19 SEP 2016,20 SEP 2016,21 SEP 2016,22 SEP 2016,23 SEP 2016,24 SEP 2016,25 SEP 2016,26 SEP 2016,27 SEP 2016,28 SEP 2016,29 SEP 2016,30 SEP 2016
Content RBT,9981528,9561780,9958910,8580290,12283328,10144538,9006100,9492492,9534168,10039810,9771318,10712210,10220660,9535210,9492180,9925980,9608610,9002370,9889680,9752732,9468170,9839428,10011780,9611870,8694480,9349030,9972450,9488456,9639598,9757580
Emoticon SMS,0,,0,0,1100,6600,0,0,0,3300,1100,2200,0,0,330,3300,0,0,0,1100,5500,2200,7700,1100,4400,1100,0,0,0,4400
Other SMS Non P2P,19030,19745,18370,13695,13475,13970,12760,10120,25905,15730,29810,30140,20570,28215,15730,18590,22730,26620,12870,18040,26125,17050,21395,36645,28670,30305,23155,30650,28545,22385
SMS Banking,9831500,8472650,6642300,4522650,8358600,7383750,7152650,7264150,7546600,6721100,4531900,3520250,6872050,6961800,7022750,7166650,5794250,4448900,6750100,7053200,6916500,6625900,8626900,6144050,4768450,7692600,7857200,7509450,7202250,8509850
SMS Content,1885195,2315143,1946041,1988240,2242610,2228730,2054945,2211598,2122963,1995568,2187310,1970988,2389201,2368864,1918763,2230548,2054405,1713890,1926375,2255300,2015350,1833995,2076440,2162891,1941514,1985705,2396035,2378775,2431030,2422265
SMS Donasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000
SMS Gift,4261500,4463500,4260000,4282500,7997500,5335000,4624000,4217500,4243500,4056000,4089000,4259000,8386500,5238500,4944500,4312500,4193500,3512000,8775000,5589500,5413000,4678000,4490500,3828000,4174000,9638000,5888000,4948000,4771500,3849000
SMS Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Music,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
SMS Newspaper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMS Pro,4942950,4064850,4658300,4110175,4491475,4736925,4552425,4449150,4734750,4443750,4200025,4739175,4946775,4277175,5063900,4678125,5074625,4874075,4866750,4863525,4846575,5112150,4522575,4621175,4680300,4634650,3673650,4349125,4655375,5005050
SMS Profiling,,2200,,,2200,,,,,,,,,,,,,,,,2200,,,,,,,,,
SMS RBT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMS T-Cash,3700,4147,2847,1550,3643,5879,4749,2548,4542,4892,1300,3199,3439,5746,3250,2449,1898,1849,2596,2792,8293,2598,9037,9426,9291,7181,11423,7982,15474,10732
Web 2 SMS Community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web 2 SMS Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS(Transfer Pulsa),2952000,2436600,2246100,2560200,2542800,2254500,1988700,1966800,2118900,2118300,2212800,2013300,2247000,2363400,1928700,1973700,1864800,2016000,2155500,1914300,2353500,2627100,2649600,2257500,1890000,3300900,2855100,2346600,2055300,2116200
Simpati(Transfer Pulsa),3334200,3168600,3412200,3037200,3348000,3167400,3093600,3075300,3433500,3171900,3034500,3189600,3306300,3139200,3296700,3354000,3426600,3116400,3385200,3521400,4022100,3327600,3939000,3608100,3158100,3526800,3238500,3220800,3025200,3175500
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,371360,350675,345435,339930,342945,343810,306460,330520,350615,329145,346475,352900,343530,338980,347980,337780,339635,325760,346435,334155,342045,329250,342185,325080,318340,337050,330120,326980,336355,344045
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,,2500,2500,2500,,5000,5000,2500,5000,,5000,15000,,7500,,2500,5000,12500,2500,,5000,2500,2500,10000,12500,10000,10000,2500,7500,7500
IVR Banking,270900,265950,168750,150300,204750,309150,368550,256950,303750,277200,188100,103950,254700,228600,303300,242100,275400,173250,411750,197100,123750,178650,270900,210150,130050,226350,374400,240750,302400,271800
IVR Content MDS,184800,207050,201550,176150,102250,206800,176850,156800,73850,323500,197700,170450,209200,192800,199100,246900,198500,187600,196050,196350,157450,177700,230900,137300,155200,224050,180950,106200,125900,116800
IVR Internal,9975,15050,17500,21000,20475,14350,17325,19775,14175,17325,18200,25025,18550,13300,10850,29750,16100,24325,23800,12950,17325,11025,12775,3675,19425,22225,25025,18375,24150,21875
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,45325,46375,55125,45150,54775,69475,59850,49875,53725,51800,59150,47075,66675,51800,56525,58100,50925,60025,42000,54950,40600,51450,49175,42000,73500,48825,51800,53200,44275,52675
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
