,01 SEP 2016,02 SEP 2016,03 SEP 2016,04 SEP 2016,05 SEP 2016,06 SEP 2016,07 SEP 2016,08 SEP 2016,09 SEP 2016,10 SEP 2016,11 SEP 2016,12 SEP 2016,13 SEP 2016,14 SEP 2016,15 SEP 2016,16 SEP 2016,17 SEP 2016,18 SEP 2016,19 SEP 2016,20 SEP 2016,21 SEP 2016,22 SEP 2016,23 SEP 2016,24 SEP 2016,25 SEP 2016,26 SEP 2016,27 SEP 2016,28 SEP 2016,29 SEP 2016,30 SEP 2016
Digital Enterprise(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Track Download,15400,12100,16500,40700,8800,13200,12100,29700,22000,14300,8800,16500,66000,22000,44000,25300,5500,18700,0,11000,8800,0,56100,7700,8800,3300,11000,68200,13200,3300
LangitMusik BB Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Flash Unlimited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LangitMusik Unlimited,,0,0,0,0,3300,3300,0,0,0,0,14300,0,0,3300,0,0,36300,11000,0,0,0,0,3300,0,0,6600,0,0,0
Music Package,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS Content(L3),,8800,3300,,3300,3300,12100,11000,11000,2200,6600,3300,5500,11000,6600,3300,4400,2200,6600,5500,7700,6600,2200,4400,11000,2200,4400,4400,11000,5500
MMS to Email,13200,16500,36300,13200,8250,18150,9900,6600,13200,13200,16500,3300,3300,1650,11550,8250,9900,18150,11550,18150,8250,6600,8250,11550,9900,21450,,8250,19800,19800
Mobile Newspaper,,,,,,,,,1200000,,,,,,,100000,,,,,100000,100000,,,,200000,,100000,,
Domestik MMS MO Eksternal,314000,320896,293500,273500,348000,324500,259000,273000,279000,290750,311500,309250,338250,266000,267000,348500,299000,363000,269250,330250,285000,281000,255750,307750,270250,308250,247500,312250,487500,342500
Domestik MMS MO Internal,2094500,2244500,2417000,2031035,2184633,2164000,2219000,2153557,2161250,2188000,2083250,2390500,2268250,2388500,2420250,2267000,2188385,2299250,2303250,2214250,2245000,2182000,2159119,2346000,1967750,2036000,2040000,2067750,3860250,2993250
International MMS MO,54000,70000,56000,84000,72000,66000,52000,82000,92000,92000,60000,174000,72000,88000,76000,42000,60000,82000,94000,44000,56000,70000,110000,80000,100000,82000,68000,88000,102000,110000
Microcampaign(Other VAS Service),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTT Services,7436480.45,9305256.82,9028668.4,6996924.68,5037042.56,5725388.4,3417084.33,3264627.04,9428500.31,6292544.12,6642526.2,7715726.07,5197578.11,5773509.47,8577841.57,6858068.4,9196943.21,13102725.02,7022877.67,10035577.4,7917930.36,9159337.52,9010683.2,8958523.28,6770465.17,7983147.53,6889119.97,8288276.79,6594747.39,8492845.73
Phonebook Backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAS Content,628429,618247,670755,583631.33,704422,632494,565796,776486,574756,785769,598362,692818,690516,1039258,557047,601221,692766,745384,707765,785392,663414,495178,625503,753843,599150,710826,444811,476661,437269,339912
