servie,,,,,,
MMS Content(L3),,28050,6600,10298,11550,3300,8250,8250,3300,13200,14850,8250,3300,14850,14850,4950,4950,4950,11550,3300
Mobile Newspaper,144500,154250,140500,109500,101500,147500,123750,209750,121250,127250,147500,99000,119000,153250,110000,84000,109500,114250,156750,113500
Domestik MMS MO Eksternal,1186946,1260000,1314250,1185000,1421500,1199000,1180000,1358250,1366500,1424750,1426500,1270000,1207250,1115000,1263610,1208500,1383250,1304000,1254750,1019750
Domestik MMS MO Internal,38000,28000,12000,20000,32000,38000,28000,40000,20000,32000,20000,50000,26000,18000,24000,24000,16000,12000,52000,44000
Microcampaign(Other VAS Service),19455991.36,17753709.41,17502539.84,12508365.12,18528308.73,18388260.57,16897685.7,16203000.57,13335198.28,13341280.96,16269925.85,14951079.83,13094081.48,14060141.42,15068042.33,13332249.37,12084872.89,15080236.14,13685493.78,16648967.46
Phonebook Backup,10196295,10526550,10662240,10257620,10014625,10258820,9638700,10149890,9544950,10202970,10210450,10384050,10304820,9927040,10269735,10148560,10170025,10233420,10185050,10320525
VAS Content,14650350,14829708,15517310,14994430,15594150,14704030,15010820,15483930,15315850,15695458,15418480,15305956,15744960,14361600,14176690,15439600,15830868,15120100,15026000,13998600
Other SMS Non P2P,11273460,14706980,14290870,13579130,13217150,9911960,8052860,13569410,12538980,12084050,11555320,11681130,9121400,7616220,12207150,11667640,11587130,10856680,11451520,9479250
SMS Banking,5022850,5819565,5179170,4919805,6418728,4551046,4328800,4330768,5941765,4280058,5111905,4928831,4834820,3203270,5173400,5024810,4893850,4230690,5085558,4213223
SMS Gift,15708,40013,76626,12474,25361,33781,45859,32197,38918,23441,19272,62596,22352,26917,34464,35695,20130,30877,16297,25069
SMS Music,115500,110000,22000,181500,93500,253000,110000,280500,159500,99000,165000,423500,82500,269500,77000,192500,473000,214500,137500,81400
SMS Online,424225,495025,558050,518425,562525,502600,465175,566900,515350,559100,577650,507475,533350,464300,550900,586650,585525,614075,556650,536125
SMS Profiling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prepaid,1459500,1654500,1711500,1623000,1516500,1501500,1473000,1611000,1516500,1590000,1495500,1558500,1678500,1566000,1540500,1512000,1687500,1596000,1569000,1519500
AS(Transfer Pulsa),3636000,3880500,3717000,3781500,4092000,3772500,3390000,3583500,3489000,3502500,3717000,3463500,3513000,3657000,3679500,3472500,3618000,3702000,3613500,3324000
Simpat(L3),157980,181200,182605,173795,179775,174130,166065,178480,184125,175070,172480,193445,187180,198295,189310,187425,193445,180625,196330,194865
USSD Charging,223700,708700,728700,736200,552500,520000,127400,619900,614900,458700,478200,595000,657500,104500,767500,805000,845000,1090000,775000,1035000
P2P Video Call,289350,613350,363600,306450,395550,342450,185400,300600,251100,381600,210600,350100,241200,156600,282600,264600,297000,315900,247950,272700
IVR Banking,191550,253200,178550,149400,226000,171100,141100,114600,116500,168300,229200,110600,175500,159850,146350,144600,166500,127300,140900,116650
IVR Content MDS,27650,43750,6650,39550,36925,26600,24325,33950,10850,34650,29050,5950,5075,9975,11025,5950,12775,14000,16275,9275
IVR Music,50925,42875,56175,51450,54600,44100,58275,49875,57400,47775,47600,54600,51450,49875,48300,39025,48475,50750,58625,50400
