,01 AUG 2016,02 AUG 2016,03 AUG 2016,04 AUG 2016,05 AUG 2016,06 AUG 2016,07 AUG 2016,08 AUG 2016,09 AUG 2016,10 AUG 2016,11 AUG 2016,12 AUG 2016,13 AUG 2016,14 AUG 2016,15 AUG 2016,16 AUG 2016,17 AUG 2016,18 AUG 2016,19 AUG 2016,20 AUG 2016,21 AUG 2016,22 AUG 2016,23 AUG 2016,24 AUG 2016,25 AUG 2016,26 AUG 2016,27 AUG 2016,28 AUG 2016,29 AUG 2016,30 AUG 2016,31 AUG 2016
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,361190,365755,343505,364435,372010,363870,349415,359030,345035,366505,333900,348335,347705,333670,339335,351040,342065,350345,346345,338495,337175,343475,333760,335245,341515,340025,331425,337850,344630,351315,341370
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,,,7500,5000,2500,10000,7500,2500,7500,10000,2500,5000,5000,,,5000,5000,10000,5000,5000,7500,5000,2500,7500,5000,12500,7500,2500,7500,5000,2500
IVR Banking,235800,348300,236700,313200,284850,248400,119700,355050,388800,329400,396450,315000,125550,147600,415800,235800,134100,214200,239400,234450,218250,370350,305550,311400,274950,265500,271800,125100,332100,195300,323550
IVR Content MDS,195800,149050,246150,193700,232000,141150,176400,143100,291750,221900,214950,167150,242100,208850,231575,159850,140600,171150,235950,181450,145950,122400,132450,135950,225100,137250,244600,157200,105600,205000,211400
IVR Internal,21875,21000,25375,22575,19950,14000,21700,13825,16275,10675,9800,14525,7700,6125,12950,7175,15050,16450,21875,17675,14175,17325,15925,14875,15750,8050,7350,13825,14175,14875,9800
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,38850,55125,54775,54075,61250,58975,61775,43400,54425,44100,43925,50575,56350,52325,60550,50225,43225,52850,55825,41825,56175,60900,53375,56875,60550,42175,68250,65800,54775,61950,46025
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
