,01 OCT 2016,02 OCT 2016,03 OCT 2016,04 OCT 2016,05 OCT 2016,06 OCT 2016,07 OCT 2016,08 OCT 2016,09 OCT 2016,10 OCT 2016,11 OCT 2016,12 OCT 2016,13 OCT 2016,14 OCT 2016,15 OCT 2016,16 OCT 2016,17 OCT 2016,18 OCT 2016,19 OCT 2016,20 OCT 2016,21 OCT 2016,22 OCT 2016,23 OCT 2016,24 OCT 2016,25 OCT 2016,26 OCT 2016,27 OCT 2016,28 OCT 2016,29 OCT 2016,30 OCT 2016,31 OCT 2016
Simpati(Transfer Pulsa),3705900,3424800,3879000,3381000,3400800,3721500,3472200,3337800,3180000,5636100,4036200,3729900,3171900,3189000,3498900,3210000,3566100,3485400,3366900,3904800,3743400,3317400,3419100,3584400,3468900,4304700,3624900,3724500,3176700,3125100,3233400
AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simpat(L3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSD Charging,337970,318605,348670,351570,331045,325450,335160,354065,352130,367285,341085,340410,334190,347560,339865,336745,345600,344085,339620,335700,364665,345750,341460,348830,344445,338380,340935,342260,339940,325115,346740
3G Mobile TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content Video Call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2P Video Call,7500,5000,5000,7500,7500,12500,5000,7500,7500,5000,,,5000,7500,7500,10000,10000,2500,5000,7500,5000,,5000,2500,,,,5000,2500,5000,5000
IVR Banking,210150,173700,290250,233550,292950,247050,446850,220500,184950,316350,289800,262350,273600,205200,249750,241200,281700,225900,236700,351900,198450,199350,157050,272250,370800,314100,248850,188100,292950,138150,310050
IVR Content MDS,224050,172800,160400,172050,212950,191600,189950,214950,163600,188150,119700,120150,167350,212800,178000,187300,205600,91350,154050,82750,75350,172300,173150,145250,184800,112850,146750,140800,128850,187950,148750
IVR Internal,27650,22575,7000,18900,27300,21175,17500,19075,18025,22225,25375,25200,23275,21175,27300,17675,17675,25725,16275,10675,22925,21875,20300,24150,25200,10150,1575,875,175,350,6650
IVR Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVR RBT,49700,42350,64225,38675,49175,44450,42525,52850,40775,61775,53025,56175,50400,52325,49700,46375,50225,52675,68250,54425,56525,55475,40950,35525,43050,53375,43750,46900,52500,44975,50400
IVR Svara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
