,01 JAN 2017,02 JAN 2017,03 JAN 2017,04 JAN 2017,05 JAN 2017,06 JAN 2017,07 JAN 2017,08 JAN 2017,09 JAN 2017,10 JAN 2017,11 JAN 2017,12 JAN 2017,13 JAN 2017,14 JAN 2017,15 JAN 2017,16 JAN 2017,17 JAN 2017,18 JAN 2017,19 JAN 2017,20 JAN 2017,21 JAN 2017,22 JAN 2017,23 JAN 2017,24 JAN 2017,25 JAN 2017,26 JAN 2017,27 JAN 2017,28 JAN 2017,29 JAN 2017,30 JAN 2017,31 JAN 2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
