,01 MAR 2016,02 MAR 2016,03 MAR 2016,04 MAR 2016,05 MAR 2016,06 MAR 2016,07 MAR 2016,08 MAR 2016,09 MAR 2016,10 MAR 2016,11 MAR 2016,12 MAR 2016,13 MAR 2016,14 MAR 2016,15 MAR 2016,16 MAR 2016,17 MAR 2016,18 MAR 2016,19 MAR 2016,20 MAR 2016,21 MAR 2016,22 MAR 2016,23 MAR 2016,24 MAR 2016,25 MAR 2016,26 MAR 2016,27 MAR 2016,28 MAR 2016,29 MAR 2016,30 MAR 2016,31 MAR 2016,
SMS T-Cash,5148,7247,5345,7400,6149,6999,6394,8295,6896,3250,8450,4096,5600,4596,4450,3596,3099,2800,6350,4247,1750,5347,7294,4000,7247,3300,5000,5347,4249,4550,5142,
AS(Transfer Pulsa),1658700,1826700,1695000,1659600,1686300,1695600,1955700,1743000,1714800,1625400,1679100,1655400,1630200,1770300,1886700,1766100,1740000,1732500,1706700,1685700,1833900,1621800,1694400,1771200,1867800,1898700,1700400,1759800,1764300,1807200,1693200,
Simpati(Transfer Pulsa),3813600,4024800,3699600,3716700,3922500,3609600,4079400,4087800,3853500,3882600,3756000,3744300,3519300,3757400,3560400,3459900,3602100,3688200,3503000,3547200,3581400,3336600,3415500,3762300,3671400,3434400,3485100,3853200,3600300,3678900,3494700,
USSD Charging,337575,369410,355195,352310,355765,337725,372505,374205,346880,360160,369050,352825,338020,352435,351815,338845,337990,332970,339935,327235,353840,378240,343455,355375,339195,328940,327135,352725,338390,344300,365460,
IVR Banking,339300,238500,223650,171450,292050,216000,347850,324000,262350,532800,291600,163350,178650,296100,364950,248400,304650,261000,234900,209250,326700,241650,266850,307350,203850,292050,173250,363600,262450,359550,307800,
IVR Content MDS,27900,19150,22750,22800,39050,55850,31300,12000,32000,19300,42150,39950,20950,28600,18100,22800,3600,7300,28950,35600,17350,24000,24150,19800,63600,55450,40600,16950,19100,33000,12850,
IVR Internal,44950,57025,47175,33650,41875,39250,42300,25925,45925,33975,28175,43000,40975,56350,56100,32350,47900,51000,47925,51475,38350,50500,40575,40400,47575,38425,46675,46500,30350,42300,37300,
IVR RBT,65450,71750,70525,78225,77175,72275,88550,67025,76650,65100,93450,77700,74900,74900,58450,67900,67900,80675,83475,60725,82600,78750,70700,73850,76650,73675,83300,63875,69125,64400,58450,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
