,01 MAR 2016,02 MAR 2016,03 MAR 2016,04 MAR 2016,05 MAR 2016,06 MAR 2016,07 MAR 2016,08 MAR 2016,09 MAR 2016,10 MAR 2016,11 MAR 2016,12 MAR 2016,13 MAR 2016,14 MAR 2016,15 MAR 2016,16 MAR 2016,17 MAR 2016,18 MAR 2016,19 MAR 2016,20 MAR 2016,21 MAR 2016,22 MAR 2016,23 MAR 2016,24 MAR 2016,25 MAR 2016,26 MAR 2016,27 MAR 2016,28 MAR 2016,29 MAR 2016,30 MAR 2016,31 MAR 2016,
MMS Content(L3),8800,3300,14300,6600,9900,9900,14300,17600,8800,13200,16500,14300,8800,19800,6600,17600,9900,11000,4400,6600,11000,4400,12100,11000,11000,11000,3300,7700,9900,11000,4400,
MMS to Email,19800,6600,9900,6600,9900,6600,14850,9900,8250,16500,14850,11550,4950,16500,19800,14850,6600,8250,11550,18150,4950,14850,8250,14850,6600,9900,4950,8250,18150,8250,8250,
Domestik MMS MO Eksternal,463000,392800,358500,405250,473250,458250,357750,474607,455500,479500,535000,420000,375500,402250,483250,373750,373500,355500,328000,352000,409465,345250,402500,419500,365000,361250,405250,346500,347000,354500,402500,
Domestik MMS MO Internal,3283000,3282750,3268250,3267500,2998820,2963997,3223500,3340250,3101250,3400070,3389278,3129000,2960500,3290238,3463500,3197878,3150300,2954000,3011750,3226491,3097500,2824970,3093000,3077500,2790520,3042500,2878175,3107750,3123250,2854000,2732500,
International MMS MO,148000,188000,132000,192000,114000,184000,198000,158000,186000,154000,156000,174000,198000,194000,170000,108000,154000,148000,136000,148000,160000,116000,84000,128000,142000,142000,146000,154000,148000,86000,148000,
OTT Services,5287778.06,6795449.88,7130373.51,6651440.75,6437589.9,5958567.05,5981564.7,7775381.87,6305887.04,5656926.86,6689132.35,5557680.68,6985080.47,7648564.52,6663729.65,5909960.98,5963373.12,7295929.31,8534639.88,6639930.88,5251571.36,7615320.93,5501544.32,6584101.73,8133439.71,7090024.28,6829523.21,5904791.35,4620523.84,7439920.74,6616872.5,
VAS Content,1538821,1443673,1422274,1464993,1433841,1321998,1447772,1426637,1240907,1447557,1182367,1489646,1326563,1319884,1403892,1214756,1344816,1443693,1448530,1193228,1470659,1401395,1558799,1607370,1487111,1553544,1343851,1266413,1288503,1643626,1264539,
Content RBT,8094520,7418730,7902630,7804140,8455008,7899328,8167890,8845008,7976268,8075150,8152890,8188428,8320070,8201930,8182528,8044910,7891910,8131990,7971480,7620570,8261618,8069180,8276798,8126920,7974020,8190236,7922250,8140838,8370130,8046702,8276460,
Other SMS Non P2P,15785,16445,12595,14025,14960,13805,11330,19760,12650,11385,15345,14370,11330,24970,14245,12760,13365,15785,13915,17820,14630,20790,31185,17655,27995,29425,19800,21835,33770,20680,15785,
SMS Banking,14242500,11391350,10617850,10007350,8659400,6633550,10968050,10460250,7466650,10630950,10212650,8375000,6500450,10259050,10222100,9771900,9921200,10150300,8112250,6608700,10710150,9489100,9650350,11465100,7889500,7684800,6326000,11413150,9809900,10490550,10728150,
SMS Content,6947992,8881310,7796506,9095315,7960169,8232846,8797490,8765705,7001010,8343105,8507723,7401262,7463405,8682992,8686868,7604502,8111061,7836630,7969065,7479145,7407445,8166966,7697700,8170906,7842870,8592125,7143860,7257392,7349448,8112898,9256911,
SMS Gift,5826500,5187500,4312000,4303000,4844500,4725000,8810500,5903500,4068500,5427500,4815500,4757500,4851500,9607500,5045500,5234500,4766000,4746000,4591500,4804000,8861500,5471000,5169000,4843000,4485000,4696000,4147000,9450500,5796000,5521500,4936500,
SMS Pro,692750,676350,705900,664850,654350,546450,702550,686850,667100,743100,650700,665600,607450,665550,667300,711900,689150,725350,657900,587600,646000,639000,458100,725000,637150,692450,620150,695900,603500,604350,710400,
